City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
138,Den Helder,NL,2022-05-19 14:15:59,52.9599,4.7593,68.95,88,100,4.61
139,Farafangana,MG,2022-05-19 14:15:59,-22.8167,47.8333,71.98,70,0,5.5
140,Laguna,US,2022-05-19 14:15:59,38.421,-121.4238,73.02,47,0,4.61
141,Turbat,PK,2022-05-19 14:16:00,26.0023,63.044,104.04,17,0,18.48
142,Kuressaare,EE,2022-05-19 14:16:00,58.2481,22.5039,55.35,76,0,9.22
143,Elk City,US,2022-05-19 14:16:00,35.412,-99.4043,71.58,68,0,0.0
144,Vrangel,RU,2022-05-19 14:16:00,42.7297,133.0839,53.2,74,100,1.52
145,Alofi,NU,2022-05-19 14:16:00,-19.0595,-169.9187,73.29,94,80,9.22
146,Tarko-Sale,RU,2022-05-19 14:16:01,64.9225,77.785,59.14,64,100,12.28
147,Kaitangata,NZ,2022-05-19 14:16:01,-46.2817,169.8464,44.51,82,34,14.09
148,Hobyo,SO,2022-05-19 14:16:01,5.3505,48.5268,82.98,70,37,26.35
149,Klaksvik,FO,2022-05-19 14:16:01,62.2266,-6.589,50.92,96,100,21.63
150,Pathein,MM,2022-05-19 14:16:01,16.7833,94.7333,78.93,88,100,7.65
151,Dongsheng,CN,2022-05-19 14:16:02,39.8161,109.9776,65.89,25,40,9.84
152,Muroto,JP,2022-05-19 14:16:02,33.2833,134.15,67.6,68,100,9.06
153,Sisimiut,GL,2022-05-19 14:16:02,66.9395,-53.6735,39.04,50,10,3.78
154,Husavik,IS,2022-05-19 14:16:03,66.0449,-17.3389,51.8,66,88,19.84
155,Young,UY,2022-05-19 14:16:03,-32.6833,-57.6333,52.52,72,37,2.62
156,Saskylakh,RU,2022-05-19 14:16:03,71.9167,114.0833,31.46,95,100,5.17
157,Odweyne,SO,2022-05-19 14:16:03,9.4092,45.064,91.0,20,99,1.41
158,Chuy,UY,2022-05-19 14:16:03,-33.6971,-53.4616,58.41,68,49,9.8
159,Narsaq,GL,2022-05-19 14:16:04,60.9167,-46.05,44.82,63,10,5.79
160,Georgetown,MY,2022-05-19 14:11:04,5.4112,100.3354,85.95,70,20,0.0
161,Atiquizaya,SV,2022-05-19 14:16:04,13.9769,-89.7525,74.93,84,99,2.01
162,Vanimo,PG,2022-05-19 14:16:06,-2.6741,141.3028,80.4,84,89,3.89
163,Avarua,CK,2022-05-19 14:16:07,-21.2078,-159.775,73.45,94,75,2.3
164,Cascais,PT,2022-05-19 14:16:07,38.6979,-9.4215,83.61,50,0,12.66
165,Sitka,US,2022-05-19 14:16:07,57.0531,-135.33,44.49,76,40,0.0
166,Ratangarh,IN,2022-05-19 14:16:07,28.0833,74.6,102.27,10,3,9.44
167,Duldurga,RU,2022-05-19 14:16:08,50.6761,113.5931,61.74,36,92,5.53
168,Saldanha,ZA,2022-05-19 14:12:09,-33.0117,17.9442,60.51,60,77,18.77
169,San Policarpo,PH,2022-05-19 14:16:08,12.1791,125.5072,82.0,81,59,9.98
170,Salalah,OM,2022-05-19 14:16:08,17.0151,54.0924,86.09,79,20,10.36
171,Boca Do Acre,BR,2022-05-19 14:16:08,-8.7522,-67.3978,72.0,48,94,4.79
172,Kasane,BW,2022-05-19 14:16:09,-17.8167,25.15,77.09,47,40,3.44
173,Zanjan,IR,2022-05-19 14:14:11,36.6736,48.4787,74.95,18,1,15.68
174,Kinshasa,CD,2022-05-19 14:11:53,-4.3246,15.3215,81.34,77,97,3.29
175,Dhidhdhoo,MV,2022-05-19 14:14:57,6.8833,73.1,82.81,79,100,16.49
176,Dunedin,NZ,2022-05-19 14:16:09,-45.8742,170.5036,49.8,47,8,3.0
177,Zhanaozen,KZ,2022-05-19 14:16:09,43.3,52.8,78.67,28,1,10.69
178,Carnarvon,AU,2022-05-19 14:16:09,-24.8667,113.6333,72.3,63,28,12.41
